;04_DBD_3_1_1_1;04_DBD_3_2_1_1;04_DBD_3_3_1_1;04_DBD_3_4_1_1;04_DBD_3_5_1_1;04_DBD_3_6_1_1;04_DBD_3_7_1_1;04_DBD_3_8_1_1;04_DBD_3_9_1_1;04_DBD_3_10_1_1;04_DBD_3_11_1_1;04_DBD_3_12_1_1;04_DBD_3_13_1_1;04_DBD_3_14_1_1;04_DBD_3_15_1_1;04_DBD_3_16_1_1;04_DBD_3_17_1_1;04_DBD_3_18_1_1;04_DBD_3_19_1_1;04_DBD_3_20_1_1
2.0000000000e-07;9.3262736851e-01;9.3334268231e-01;9.3389548711e-01;9.3341755587e-01;9.3388641580e-01;9.3372294271e-01;9.3331470443e-01;9.3292392927e-01;9.3331264112e-01;9.3300697386e-01;9.3284467564e-01;9.3312952632e-01;9.3348099947e-01;9.3332276326e-01;9.3319741043e-01;9.3436767330e-01;9.3309211631e-01;9.3333104154e-01;9.3375131012e-01;9.3308167281e-01
4.0000000000e-07;1.0233574920e+00;1.0235428043e+00;1.0243865412e+00;1.0243707751e+00;1.0233877218e+00;1.0244873254e+00;1.0241845491e+00;1.0235170494e+00;1.0242606048e+00;1.0237026108e+00;1.0231665354e+00;1.0245098224e+00;1.0246135929e+00;1.0250245509e+00;1.0241996065e+00;1.0237925883e+00;1.0244121729e+00;1.0246141083e+00;1.0231081606e+00;1.0243578388e+00
6.0000000000e-07;1.0229375730e+00;1.0233807609e+00;1.0237604000e+00;1.0242502457e+00;1.0242838825e+00;1.0235036373e+00;1.0240001556e+00;1.0242913345e+00;1.0238255863e+00;1.0238147269e+00;1.0241661488e+00;1.0243647231e+00;1.0237271910e+00;1.0239047161e+00;1.0243064560e+00;1.0236562670e+00;1.0229071597e+00;1.0244220030e+00;1.0230808279e+00;1.0239882151e+00
8.0000000000e-07;1.0236087375e+00;1.0229032017e+00;1.0238254925e+00;1.0232022385e+00;1.0232999580e+00;1.0242345163e+00;1.0233650823e+00;1.0244549925e+00;1.0239254044e+00;1.0226947108e+00;1.0238615523e+00;1.0243605627e+00;1.0237816254e+00;1.0240250415e+00;1.0247762456e+00;1.0235523315e+00;1.0230635489e+00;1.0252887912e+00;1.0241159520e+00;1.0238756956e+00
1.0000000000e-06;1.0256804126e+00;1.0264118535e+00;1.0274014176e+00;1.0269739943e+00;1.0271682802e+00;1.0267785649e+00;1.0277358738e+00;1.0273794967e+00;1.0259315473e+00;1.0276172606e+00;1.0266490152e+00;1.0279235791e+00;1.0267311905e+00;1.0285962637e+00;1.0273496621e+00;1.0272684516e+00;1.0263884973e+00;1.0277675647e+00;1.0271663875e+00;1.0267971405e+00
1.2000000000e-06;1.0228013301e+00;1.0232310148e+00;1.0231510918e+00;1.0235831592e+00;1.0242654968e+00;1.0238049839e+00;1.0231645482e+00;1.0234559506e+00;1.0246024999e+00;1.0234054899e+00;1.0234663956e+00;1.0239526574e+00;1.0235188762e+00;1.0231664640e+00;1.0237757531e+00;1.0232166837e+00;1.0233459908e+00;1.0237945784e+00;1.0235566419e+00;1.0244669484e+00
1.4000000000e-06;1.0233539278e+00;1.0227195077e+00;1.0239710994e+00;1.0239112385e+00;1.0231506747e+00;1.0236692165e+00;1.0232171943e+00;1.0234401212e+00;1.0228545411e+00;1.0231566477e+00;1.0224323707e+00;1.0235971883e+00;1.0238751025e+00;1.0244048004e+00;1.0237582827e+00;1.0232929312e+00;1.0231266032e+00;1.0235613510e+00;1.0244278527e+00;1.0236971100e+00
1.6000000000e-06;1.0232767974e+00;1.0226113815e+00;1.0237717238e+00;1.0227022450e+00;1.0228944123e+00;1.0236305884e+00;1.0227647874e+00;1.0232979001e+00;1.0243355079e+00;1.0236233254e+00;1.0227995775e+00;1.0238965657e+00;1.0224640712e+00;1.0243826279e+00;1.0234445164e+00;1.0239041337e+00;1.0226585878e+00;1.0230314573e+00;1.0230232615e+00;1.0227439219e+00
1.8000000000e-06;1.0233086153e+00;1.0226193628e+00;1.0244406154e+00;1.0235513909e+00;1.0239593696e+00;1.0231879398e+00;1.0229562716e+00;1.0233936829e+00;1.0224124904e+00;1.0232301585e+00;1.0242672482e+00;1.0233295400e+00;1.0227729576e+00;1.0242685403e+00;1.0239633977e+00;1.0233715276e+00;1.0244142777e+00;1.0233223306e+00;1.0235457212e+00;1.0230045743e+00
2.0000000000e-06;1.0250980957e+00;1.0265076743e+00;1.0267298871e+00;1.0263575615e+00;1.0265487442e+00;1.0266144347e+00;1.0261169360e+00;1.0259688648e+00;1.0272921723e+00;1.0267779642e+00;1.0273675774e+00;1.0274763999e+00;1.0266270107e+00;1.0263716479e+00;1.0275734060e+00;1.0266448892e+00;1.0263475695e+00;1.0272018984e+00;1.0270927818e+00;1.0262444818e+00
2.2000000000e-06;1.0220249259e+00;1.0227377396e+00;1.0239315324e+00;1.0228855105e+00;1.0229591567e+00;1.0238179134e+00;1.0232328025e+00;1.0232077183e+00;1.0234531694e+00;1.0227602852e+00;1.0237281167e+00;1.0236523513e+00;1.0226744186e+00;1.0235544854e+00;1.0248910927e+00;1.0227777204e+00;1.0226623973e+00;1.0236888917e+00;1.0229763123e+00;1.0237910690e+00
2.4000000000e-06;1.0225538666e+00;1.0226187729e+00;1.0237847440e+00;1.0226840980e+00;1.0238028419e+00;1.0235820809e+00;1.0231401392e+00;1.0229999726e+00;1.0227866371e+00;1.0231396801e+00;1.0228617191e+00;1.0240253136e+00;1.0237768401e+00;1.0242366460e+00;1.0232175029e+00;1.0235782328e+00;1.0226774560e+00;1.0238151888e+00;1.0229002676e+00;1.0236545130e+00
